Date - Time (PHT)	Latitude (°N)	Longitude (°E)	Depth of Focus (km)	Magnitude	Location	URL
19 January 2020 - 04:00 AM	14.12	120.96	015	1.9	001 km S 74° W of Tagaytay City (Cavite)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0118_2000_B1F.html
19 January 2020 - 06:09 AM	13.96	121	032	1.2	007 km N 60° E of San Nicolas (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0118_2209_B1.html
19 January 2020 - 06:40 AM	13.94	120.9	025	2.7	004 km N 88° W of Agoncillo (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0118_2240_B1.html
19 January 2020 - 06:50 AM	13.94	120.95	030	1.6	001 km N 57° E of Agoncillo (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0118_2250_B1.html
19 January 2020 - 06:56 AM	14.05	121	001	3.8	006 km S 35° W of Talisay (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0118_2256_B2F.html
19 January 2020 - 07:30 AM	13.41	120.51	001	2.1	005 km 00° E of Paluan (Occidental Mindoro)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0118_2330_B1.html
19 January 2020 - 07:55 AM	14.01	120.95	032	1.6	005 km S 17° E of Laurel (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0118_2355_B1.html
19 January 2020 - 08:08 AM	14.07	120.99	032	1.2	005 km S 56° W of Talisay (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_0008_B1.html
19 January 2020 - 08:30 AM	13.92	120.96	033	1.3	002 km S 42° E of San Nicolas (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_0030_B1.html
19 January 2020 - 08:42 AM	06.82	125.64	015	2.2	027 km S 07° E of Davao City (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_0042_B2.html
19 January 2020 - 09:20 AM	09.57	126.27	020	2.4	027 km S 29° E of General Luna (Surigao Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_0120_B2.html
19 January 2020 - 09:55 AM	13.97	120.92	020	1.9	004 km N 19° W of Agoncillo (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_0155_B1.html
19 January 2020 - 10:20 AM	13.99	120.91	021	3.2	006 km N 27° W of Agoncillo (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_0220_B1.html
19 January 2020 - 11:05 AM	13.77	120.51	031	2.1	015 km S 64° W of Calatagan (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_0305_B1.html
19 January 2020 - 11:56 AM	06.56	125.22	033	1.7	015 km S 70° W of Sulop (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_0356_B2.html
19 January 2020 - 12:05 PM	06.60	125.29	006	2.3	010 km S 50° E of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_0405_B2.html
19 January 2020 - 12:38 PM	13.95	120.94	006	2.7	002 km N 33° E of Agoncillo (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_0438_B1.html
19 January 2020 - 12:49 PM	13.92	121.06	008	1.8	002 km N 12° E of Cuenca (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_0449_B1.html
19 January 2020 - 03:17 PM	06.58	126.66	021	2.9	056 km S 24° E of Tarragona (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_0717_B2.html
19 January 2020 - 04:14 PM	10.91	125.69	052	2.8	014 km S 14° W of Guiuan (Eastern Samar)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_0814_B2.html
19 January 2020 - 04:54 PM	13.78	121.06	029	2.2	003 km N 05° E of Batangas City (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_0854_B1.html
19 January 2020 - 05:39 PM	06.63	125.18	012	3.1	005 km S 54° W of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_0939_B2F.html
19 January 2020 - 06:33 PM	13.77	120.63	087	1.6	007 km South° 00 of Calatagan (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1033_B2.html
19 January 2020 - 06:50 PM	05.67	125.78	148	2.7	030 km S 39° E of Jose Abad Santos (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1050_B2.html
19 January 2020 - 06:59 PM	07.08	126.26	001	2.8	015 km N 20° E of Mati City (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1059_B2.html
19 January 2020 - 07:02 PM	07.73	127.45	079	2.1	099 km N 80° E of Baganga (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1102_B2.html
19 January 2020 - 07:08 PM	06.20	125.97	034	2.8	030 km N 89° E of Don Marcelino (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1108_B2.html
19 January 2020 - 07:37 PM	12.69	123.84	028	2.1	004 km N 58° W of Bulan (Sorsogon)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1137_B2.html
19 January 2020 - 08:07 PM	05.38	127.14	123	3.0	178 km S 72° E of Jose Abad Santos (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1207_B2.html
19 January 2020 - 08:23 PM	13.74	120.92	007	3.4	002 km S 64° W of Mabini (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1223_B2F.html
19 January 2020 - 08:25 PM	13.75	120.93	006	3.0	001 km S 63° W of Mabini (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1225_B2.html
19 January 2020 - 08:26 PM	13.87	120.81	017	1.8	019 km N 48° W of Mabini (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1226_B2.html
19 January 2020 - 08:39 PM	13.70	120.92	007	3.0	006 km S 16° W of Mabini (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1239_B2.html
19 January 2020 - 08:54 PM	13.72	120.94	007	2.9	003 km S 02° E of Mabini (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1254_B2.html
19 January 2020 - 08:58 PM	13.81	120.91	032	1.6	007 km N 25° W of Mabini (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1258_B2.html
19 January 2020 - 08:59 PM	13.68	120.96	001	4.6	008 km S 12° E of Mabini (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1259_B3F.html
19 January 2020 - 09:09 PM	13.82	120.87	045	2.1	011 km N 44° W of Mabini (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1309_B2.html
19 January 2020 - 10:02 PM	13.76	120.98	009	4.0	004 km N 83° E of Mabini (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1402_B3F.html
19 January 2020 - 10:13 PM	14.08	120.87	011	2.3	007 km N 67° W of Laurel (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1413_B1.html
19 January 2020 - 11:00 PM	13.91	120.94	034	1.6	003 km S 10° E of Agoncillo (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1500_B1.html
19 January 2020 - 11:20 PM	14.10	120.96	025	2.1	002 km S 16° W of Tagaytay City (Cavite)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1520_B1.html
19 January 2020 - 11:43 PM	13.54	120.89	001	3.5	008 km N 59° W of Puerto Galera (Oriental Mindoro)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1543_B2.html
19 January 2020 - 11:38 PM	13.74	120.98	006	1.9	004 km S 71° E of Mabini (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1538_B2.html
19 January 2020 - 11:55 PM	13.98	120.92	032	1.8	005 km N 15° W of Agoncillo (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1555_B1.html
20 January 2020 - 12:22 AM	13.86	120.91	014	2.2	001 km N 15° W of San Luis (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1622_B1.html
20 January 2020 - 01:59 AM	13.76	120.95	031	1.8	001 km N 65° E of Mabini (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1759_B2.html
20 January 2020 - 02:35 AM	15.09	120.32	052	2.0	022 km N 35° E of Castillejos (Zambales)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1835_B2.html
20 January 2020 - 03:00 AM	13.75	120.84	030	2.7	011 km S 89° W of Mabini (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1900_B2.html
20 January 2020 - 03:02 AM	15.20	120.35	033	2.1	024 km S 83° W of Mabalacat (Pampanga)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1902_B2.html
20 January 2020 - 03:13 AM	13.92	121.08	028	2.3	004 km N 61° E of Cuenca (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1913_B1.html
20 January 2020 - 03:24 AM	13.96	121.08	004	1.6	004 km S 85° W of Mataas Na Kahoy (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1924_B1.html
20 January 2020 - 03:27 AM	13.16	120.39	022	2.9	029 km S 17° W of Paluan (Occidental Mindoro)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1927_B2.html
20 January 2020 - 03:52 AM	06.40	125.25	029	2.3	015 km N 01° W of Malungon (Sarangani)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_1952_B2.html
20 January 2020 - 04:09 AM	13.99	120.91	018	3.1	007 km N 27° W of Agoncillo (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_2009_B1.html
20 January 2020 - 04:50 AM	13.93	120.94	009	2.1	001 km S 33° E of Agoncillo (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_2050_B1.html
20 January 2020 - 05:02 AM	14.00	120.94	028	2.0	007 km N 04° E of Agoncillo (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_2102_B1.html
20 January 2020 - 05:43 AM	06.65	126.26	057	3.1	021 km S 89° E of Governor Generoso (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_2143_B2.html
20 January 2020 - 06:07 AM	05.47	126.31	033	3.0	090 km S 59° E of Jose Abad Santos (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_2207_B2.html
20 January 2020 - 07:54 AM	13.85	121.07	032	2.0	006 km S 16° E of Cuenca (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0119_2354_B1.html
20 January 2020 - 09:11 AM	13.81	120.98	032	1.9	004 km N 67° W of Bauan (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_0111_B2.html
20 January 2020 - 10:30 AM	14.22	121.34	035	2.2	001 km N 05° E of Victoria (Laguna)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_0230_B2.html
20 January 2020 - 10:41 AM	18.45	121.1	020	2.5	018 km S 08° E of Claveria (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_0241_B2.html
20 January 2020 - 12:13 PM	13.98	120.91	033	2.0	006 km N 31° W of Agoncillo (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_0413_B2.html
20 January 2020 - 12:31 PM	15.75	119.14	023	3.8	082 km S 60° W of Agno (Pangasinan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_0431_B2.html
20 January 2020 - 01:33 PM	15.55	119.01	069	3.7	097 km N 83° W of Palauig (Zambales)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_0533_B2.html
20 January 2020 - 06:11 PM	15.63	119.01	101	2.9	098 km S 81° W of Santa Cruz (Zambales)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_1011_B2.html
20 January 2020 - 06:25 PM	13.53	120.33	027	2.0	020 km N 48° W of Paluan (Occidental Mindoro)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_1025_B2.html
20 January 2020 - 06:56 PM	15.86	119.1	083	2.4	080 km S 69° W of Agno (Pangasinan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_1056_B2.html
20 January 2020 - 07:32 PM	15.71	119.08	023	3.1	089 km S 60° W of Agno (Pangasinan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_1132_B2.html
20 January 2020 - 08:07 PM	18.19	120.63	025	1.6	005 km S 20° W of Vintar (Ilocos Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_1207_B2.html
20 January 2020 - 08:32 PM	06.41	125.27	021	2.0	031 km N 49° E of Polomolok (South Cotabato)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_1232_B2.html
20 January 2020 - 08:34 PM	15.67	118.88	040	2.8	110 km S 63° W of Agno (Pangasinan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_1234_B2.html
20 January 2020 - 09:21 PM	15.80	118.85	049	2.6	108 km S 71° W of Agno (Pangasinan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_1321_B2.html
20 January 2020 - 09:49 PM	09.99	126.07	024	3.0	025 km N 22° W of General Luna (Surigao Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_1349_B2.html
20 January 2020 - 10:27 PM	06.70	124.94	003	2.2	015 km S 78° E of Buluan (Maguindanao)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_1427_B2.html
20 January 2020 - 11:50 PM	10.82	122.96	023	2.0	003 km N 45° W of Silay City (Negros Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_1550_B2.html
21 January 2020 - 12:24 AM	04.35	124.47	034	2.9	164 km S 43° W of Sarangani (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_1624_B2.html
21 January 2020 - 12:32 AM	13.98	120.93	012	2.5	004 km N 08° W of Agoncillo (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_1632_B1.html
21 January 2020 - 12:50 AM	15.79	119.66	002	2.8	034 km N 57° W of Candelaria (Zambales)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_1650_B2.html
21 January 2020 - 01:26 AM	06.58	125.26	001	2.7	010 km S 73° W of Sulop (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_1726_B2.html
21 January 2020 - 02:30 AM	14.15	121.5	028	1.5	010 km N 81° E of Nagcarlan (Laguna)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_1830_B2.html
21 January 2020 - 02:51 AM	06.07	127.49	025	3.5	159 km S 47° E of Tarragona (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_1851_B2.html
21 January 2020 - 04:27 AM	13.36	121.49	013	3.3	021 km N 79° E of Naujan (Oriental Mindoro)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_2027_B2.html
21 January 2020 - 05:01 AM	06.48	126.99	170	2.6	087 km S 44° E of Tarragona (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_2101_B2.html
21 January 2020 - 05:40 AM	13.91	121.16	032	2.2	004 km S 03° W of Lipa City (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_2140_B1.html
21 January 2020 - 06:07 AM	07.89	125.05	029	1.7	006 km S 69° W of Valencia City (Bukidnon)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_2207_B2.html
21 January 2020 - 07:01 AM	15.88	118.87	013	2.7	103 km S 75° W of Agno (Pangasinan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0120_2301_B2.html
21 January 2020 - 08:30 AM	06.63	125.26	014	2.1	006 km S 60° E of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_0030_B2.html
21 January 2020 - 09:07 AM	10.00	126.15	021	3.4	024 km N 02° W of General Luna (Surigao Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_0107_B2.html
21 January 2020 - 10:41 AM	06.72	125.03	002	2.3	014 km S 43° E of Columbio (Sultan Kudarat)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_0241_B2.html
21 January 2020 - 10:50 AM	06.80	126	009	2.7	019 km N 27° W of Governor Generoso (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_0250_B2.html
21 January 2020 - 12:21 PM	06.63	124.97	003	2.9	019 km N 46° E of Koronadal City (South Cotabato)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_0421_B2.html
21 January 2020 - 01:15 PM	13.75	120.91	004	2.2	003 km S 86° W of Mabini (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_0515_B2.html
21 January 2020 - 01:34 PM	13.93	120.89	033	1.8	005 km S 79° W of Agoncillo (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_0534_B2.html
21 January 2020 - 03:05 PM	19.01	120.52	021	1.9	056 km N 31° W of Pagudpud (Ilocos Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_0705_B2.html
21 January 2020 - 03:51 PM	05.59	126.53	081	2.3	107 km S 72° E of Jose Abad Santos (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_0751_B2.html
21 January 2020 - 04:03 PM	10.33	125.12	001	2.6	005 km N 18° W of Saint Bernard (Southern Leyte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_0803_B2.html
21 January 2020 - 04:16 PM	09.20	125.64	004	2.2	012 km S 53° E of Santiago (Agusan Del Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_0816_B2.html
21 January 2020 - 04:38 PM	10.42	125.37	002	2.3	015 km N 62° E of Hinundayan (Southern Leyte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_0838_B2.html
21 January 2020 - 04:46 PM	06.58	125.06	025	2.0	003 km N 56° E of Lambayong (Mariano Marcos) (Sultan Kudarat)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_0846_B2.html
21 January 2020 - 04:52 PM	09.79	123.14	013	3.3	015 km S 11° W of Tayasan (Negros Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_0852_B2.html
21 January 2020 - 04:56 PM	08.51	126.86	013	2.7	060 km N 75° E of Hinatuan (Surigao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_0856_B2.html
21 January 2020 - 05:18 PM	06.58	125.18	007	2.8	009 km S 25° W of Kiblawan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_0918_B2.html
21 January 2020 - 05:28 PM	13.98	120.92	031	1.9	005 km N 22° W of Agoncillo (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_0928_B1.html
21 January 2020 - 06:55 PM	13.13	121.11	026	2.2	019 km S 67° W of Victoria (Oriental Mindoro)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1055_B2.html
21 January 2020 - 08:28 PM	06.75	124.73	033	1.8	006 km N 31° E of President Quirino (Sultan Kudarat)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1228_B2.html
21 January 2020 - 09:07 PM	06.32	125.23	032	2.8	007 km N 23° W of Malungon (Sarangani)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1307_B2.html
21 January 2020 - 09:15 PM	14.16	121.09	002	2.4	007 km N 46° W of Santo Tomas (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1315_B1.html
21 January 2020 - 09:28 PM	09.88	123.17	021	2.6	004 km N 52° E of Ayungon (Negros Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1328_B2.html
21 January 2020 - 10:22 PM	06.81	125.06	007	3.2	013 km N 88° E of Columbio (Sultan Kudarat)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1422_B2F.html
21 January 2020 - 10:30 PM	13.55	120.91	031	1.8	007 km N 41° W of Puerto Galera (Oriental Mindoro)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1430_B2.html
21 January 2020 - 11:16 PM	13.99	120.92	016	1.8	006 km N 19° W of Agoncillo (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1516_B1.html
21 January 2020 - 11:30 PM	18.26	120.86	032	1.6	007 km N 11° W of Carasi (Ilocos Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1530_B2.html
22 January 2020 - 12:19 AM	15.52	121.72	002	1.7	032 km S 32° E of Baler (Aurora)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1619_B2.html
22 January 2020 - 12:36 AM	18.17	121.19	002	2.9	026 km S 45° W of Luna (Apayao)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1636_B2.html
22 January 2020 - 12:40 AM	05.59	126.58	020	3.5	111 km S 73° E of Jose Abad Santos (Davao Occidental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1640_B2.html
22 January 2020 - 01:19 AM	18.28	120.84	031	2.0	010 km N 18° W of Carasi (Ilocos Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1719_B2.html
22 January 2020 - 01:23 AM	18.22	120.82	021	2.2	006 km N 68° W of Carasi (Ilocos Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1723_B2.html
22 January 2020 - 01:34 AM	18.38	120.85	035	1.7	011 km S 35° W of Adams (Ilocos Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1734_B2.html
22 January 2020 - 01:47 AM	18.28	120.86	032	2.6	009 km N 04° W of Carasi (Ilocos Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1747_B2.html
22 January 2020 - 01:59 AM	13.98	120.91	034	1.8	005 km N 27° W of Agoncillo (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1759_B1.html
22 January 2020 - 02:08 AM	06.94	126.72	140	2.4	032 km S 69° E of Tarragona (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1808_B2.html
22 January 2020 - 02:16 AM	06.88	125.02	005	2.3	011 km N 47° E of Columbio (Sultan Kudarat)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1816_B2.html
22 January 2020 - 02:33 AM	18.36	120.87	034	1.9	018 km N 01° E of Carasi (Ilocos Norte)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1833_B2.html
22 January 2020 - 02:35 AM	19.05	121.33	008	2.3	029 km S 29° W of Calayan (Cagayan)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1835_B2.html
22 January 2020 - 02:39 AM	11.74	125.16	020	2.4	011 km N 70° E of Hinabangan (Samar)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1839_B2.html
22 January 2020 - 03:14 AM	14.08	120.92	033	2.1	003 km N 30° W of Laurel (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1914_B2.html
22 January 2020 - 03:34 AM	06.75	125.13	016	2.3	009 km S 65° W of Bansalan (Davao Del Sur)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1934_B2.html
22 January 2020 - 03:41 AM	13.05	121.28	024	1.9	016 km South° 00 of Victoria (Oriental Mindoro)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_1941_B2.html
22 January 2020 - 04:20 AM	13.94	120.73	032	1.5	000 km 00 °est of Balayan (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_2020_B1.html
22 January 2020 - 07:07 AM	13.62	120.82	031	2.0	007 km S 53° W of Tingloy (Batangas)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_2307_B2.html
22 January 2020 - 07:12 AM	11.25	126.1	007	3.0	046 km N 69° E of Mercedes (Eastern Samar)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0121_2312_B2.html
22 January 2020 - 09:17 AM	07.97	126.59	021	2.0	025 km N 37° E of Cateel (Davao Oriental)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0122_0117_B2.html
22 January 2020 - 10:07 AM	14.43	121.92	033	1.6	026 km N 02° W of Perez (Quezon)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0122_0207_B2.html
22 January 2020 - 10:54 AM	07.21	124.91	019	2.3	013 km N 83° E of Carmen (Cotabato)	https://earthquake.phivolcs.dost.gov.ph/2020_Earthquake_Information/January/2020_0122_0254_B2.html
